TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,WIDTH,RD 1,GL 1,TH 1,RD 2,,,
CYL,CV,UV,RCC-40.0-25.4-508.6-CFUV,-1000.0,25.4,40.0,508.6,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-508.6-UV,-1000.0,25.4,40.0,508.6,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-63.6-C,-125.0,25.4,40.0,63.6,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-63.6-UV,-125.0,25.4,40.0,63.6,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-25.4-76.3-C,-150.0,25.4,40.0,76.3,N-BK7,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-76.3-CFUV,-150.0,25.4,40.0,76.3,CAFUV,5.0,0,,,
CYL,CV,UV,RCC-40.0-25.4-76.3-UV,-150.0,25.4,40.0,76.3,SILUV,5.0,0,,,
CYL,CV,VIS,RCC-40.0-30.0-101.7-C,-200.0,30.0,40.0,101.7,N-BK7,4.0,0,,,
CYL,CV,UV,RCC-40.0-30.0-101.7-UV,-200.0,30.0,40.0,101.7,SILUV,4.0,0,,,
CYL,CV,VIS,RCC-40.0-30.0-127.1-C,-250.0,30.0,40.0,127.1,N-BK7,4.2,0,,,
CYL,CV,UV,RCC-40.0-30.0-127.1-UV,-250.0,30.0,40.0,127.1,SILUV,4.2,0,,,
CYL,CV,VIS,RCC-40.0-30.0-152.6-C,-300.0,30.0,40.0,152.6,N-BK7,4.4,0,,,
CYL,CV,UV,RCC-40.0-30.0-152.6-UV,-300.0,30.0,40.0,152.6,SILUV,4.4,0,,,
CYL,CV,UV,RCC-40.0-30.0-203.2-UV,-400.0,30.0,40.0,203.4,SILUV,4.5,0,,,
CYL,CV,VIS,RCC-40.0-30.0-203.4-C,-400.0,30.0,40.0,203.4,N-BK7,4.5,0,,,
CYL,CV,VIS,RCC-40.0-30.0-25.4-C,-50.0,30.0,40.0,25.4,N-BK7,4.2,0,,,
CYL,CV,UV,RCC-40.0-30.0-25.4-UV,-50.0,30.0,40.0,25.4,SILUV,4.2,0,,,
CYL,CV,VIS,RCC-40.0-30.0-254.3-C,-500.0,30.0,40.0,254.3,N-BK7,4.7,0,,,
CYL,CV,UV,RCC-40.0-30.0-254.3-UV,-500.0,30.0,40.0,254.3,SILUV,4.7,0,,,
CYL,CV,VIS,RCC-40.0-30.0-30.5-C,-60.0,30.0,40.0,30.5,N-BK7,4.2,0,,,
CYL,CV,UV,RCC-40.0-30.0-30.5-UV,-60.0,30.0,40.0,30.5,SILUV,4.2,0,,,
CYL,CV,VIS,RCC-40.0-30.0-38.1-C,-75.0,30.0,40.0,38.1,N-BK7,4.0,0,,,
CYL,CV,UV,RCC-40.0-30.0-38.1-UV,-75.0,30.0,40.0,38.1,SILUV,4.0,0,,,
CYL,CV,VIS,RCC-40.0-30.0-381.4-C,-750.0,30.0,40.0,381.4,N-BK7,4.8,0,,,
CYL,CV,UV,RCC-40.0-30.0-381.4-UV,-750.0,30.0,40.0,381.4,SILUV,4.8,0,,,
CYL,CV,VIS,RCC-40.0-30.0-50.9-C,-100.0,30.0,40.0,50.9,N-BK7,4.8,0,,,
CYL,CV,UV,RCC-40.0-30.0-50.9-UV,-100.0,30.0,40.0,50.9,SILUV,4.8,0,,,
CYL,CV,VIS,RCC-40.0-30.0-508.6-C,-1000.0,30.0,40.0,508.6,N-BK7,4.9,0,,,
CYL,CV,UV,RCC-40.0-30.0-508.6-UV,-1000.0,30.0,40.0,508.6,SILUV,4.9,0,,,
CYL,CV,VIS,RCC-40.0-30.0-63.6-C,-125.0,30.0,40.0,63.6,N-BK7,3.3,0,,,
CYL,CV,UV,RCC-40.0-30.0-63.6-UV,-125.0,30.0,40.0,63.6,SILUV,3.3,0,,,
CYL,CV,VIS,RCC-40.0-30.0-76.3-C,-150.0,30.0,40.0,76.3,N-BK7,3.6,0,,,
CYL,CV,UV,RCC-40.0-30.0-76.3-UV,-150.0,30.0,40.0,76.3,SILUV,3.6,0,,,
CYL,CV,UV,RCX-12.7-4.8-3.0-UV,6.0,4.8,12.7,3.0,SILUV,4.0,0,,,
CYL,CV,VIS,RCX-12.7-4.8-3.1-C,6.0,4.8,12.7,3.1,N-BK7,4.0,0,,,
CYL,CV,VIS,RCX-12.7-6.4-10.2-C,20.0,6.4,12.7,10.2,N-BK7,3.0,0,,,
CYL,CV,UV,RCX-12.7-6.4-10.2-UV,20.0,6.4,12.7,10.2,SILUV,3.0,0,,,
CYL,CV,VIS,RCX-12.7-6.4-5.1-C,10.0,6.4,12.7,5.1,N-BK7,4.0,0,,,
CYL,CV,UV,RCX-12.7-6.4-5.1-UV,10.0,6.4,12.7,5.1,SILUV,4.0,0,,,
CYL,CV,VIS,RCX-12.7-6.4-6.5-C,12.7,6.4,12.7,6.5,N-BK7,3.0,0,,,
CYL,CV,UV,RCX-12.7-6.4-6.5-UV,12.7,6.4,12.7,6.5,SILUV,3.0,0,,,
