TYPE,MAN ID,CAT,S/N,EFL,DIA,RD 1,GL 1,TH 1,RD 2,GL 2,TH 2,RD 3
LEN,O,PCX,41390,250,25.4,115,Quartz,4,0
LEN,O,PCX,41400,350,25.4,160.77,Quartz,4,0
LEN,O,PCX,41410,500,25.4,230.43,Quartz,4,0
LEN,O,PCX,41415,750,25.4,345.23,Quartz,4,0
LEN,O,PCX,41420,1000,25.4,454.6,Quartz,4,0
LEN,O,PCX,41540,50,38.1,23.01,Quartz,12.1,0
LEN,O,PCX,41545,63,38.1,29,Quartz,9,0
LEN,O,PCX,41550,75,38.1,34.42,Quartz,7.6,0
LEN,O,PCX,41555,88,38.1,40.61,Quartz,6.6,0
LEN,O,PCX,41560,100,38.1,46.01,Quartz,6,0
LEN,O,PCX,41565,125,38.1,57.66,Quartz,5.1,0
LEN,O,PCX,41570,150,38.1,69.19,Quartz,5,0
LEN,O,PCX,41575,175,38.1,80,Quartz,5,0
LEN,O,PCX,41580,200,38.1,92.07,Quartz,5,0
LEN,O,PCX,41590,250,38.1,115,Quartz,5,0
LEN,O,PCX,41600,350,38.1,160.77,Quartz,5,0
LEN,O,PCX,41610,500,38.1,230.43,Quartz,5,0
LEN,O,PCX,41615,750,38.1,345.23,Quartz,5,0
LEN,O,PCX,41620,1000,38.1,454.6,Quartz,5,0
LEN,O,PCX,41749,65,50.8,30.1,Quartz,16.2,0
LEN,O,PCX,41750,75,50.8,34.42,Quartz,13.2,0
LEN,O,PCX,41760,88,50.8,40.61,Quartz,11,0
LEN,O,PCX,41765,100,50.8,46.01,Quartz,9.7,0
LEN,O,PCX,41770,125,50.8,57.66,Quartz,7.9,0
LEN,O,PCX,41775,150,50.8,69.19,Quartz,6.9,0
LEN,O,PCX,41780,175,50.8,80,Quartz,6.4,0
LEN,O,PCX,41790,200,50.8,92.07,Quartz,6.4,0
LEN,O,PCX,41800,250,50.8,115,Quartz,6.4,0
LEN,O,PCX,41810,350,50.8,160.77,Quartz,6.4,0
LEN,O,PCX,41811,750,50.8,345.23,Quartz,6.4,0
LEN,O,PCX,41815,500,50.8,230.43,Quartz,6.4,0
LEN,O,PCX,41820,1000,50.8,454.6,Quartz,6.4,0
LEN,O,PCX,41821,1500,50.8,690.6,Quartz,6.4,0
LEN,O,PCX,41830,2000,50.8,916.02,Quartz,6.4,0
LEN,O,PCX,41960,100,76.2,46.01,Quartz,22.9,0
LEN,O,PCX,41965,125,76.2,57.66,Quartz,17,0
LEN,O,PCX,41970,150,76.2,69.19,Quartz,14,0
LEN,O,PCX,41975,175,76.2,80,Quartz,12.1,0
LEN,O,PCX,41980,200,76.2,92.07,Quartz,10.8,0
LEN,O,PCX,41990,250,76.2,115,Quartz,9,0
LEN,O,PCX,41995,350,76.2,160.77,Quartz,8.5,0
LEN,O,PCX,42010,500,76.2,230.43,Quartz,8.5,0
LEN,O,PCX,42011,750,76.2,345.23,Quartz,8.5,0
LEN,O,PCX,42012,1000,76.2,454.6,Quartz,8.5,0
LEN,O,PCX,42013,1500,76.2,690.6,Quartz,8.5,0
LEN,O,PCX,42014,2000,76.2,916,Quartz,8.5,0
LEN,O,PCX,42015,150,101.6,69.19,Quartz,25.4,0
LEN,O,PCX,42016,200,101.6,92.07,Quartz,18.4,0
LEN,O,PCX,42017,250,101.6,115,Quartz,14.9,0
LEN,O,PCX,42018,500,101.6,230.43,Quartz,11.3,0
LEN,O,PCX,42019,1000,101.6,454.6,Quartz,11.3,0
