TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LPX087,44.665,11.43,23.083,BK7,2.4,0
LEN,MG,,01LPX101,47.175,9.9,24.38,BK7,2.6,0
LEN,MG,,01LPX105,50.186,13.5,25.936,BK7,3.1,0
LEN,MG,,01LPX107,50.186,18,25.936,BK7,4,0
LEN,MG,,01LPX108,50.186,24.3,25.936,BK7,5.8,0
LEN,MG,,01LPX110,50.186,27,25.936,BK7,6.8,0
LEN,MG,,01LPX111,50.186,36,25.936,BK7,11.3,0
LEN,MG,,01LPX113,50.989,22.86,26.351,BK7,5.2,0
LEN,MG,,01LPX115,50.989,34.29,26.351,BK7,10,0
LEN,MG,,01LPX119,55.205,9,28.53,BK7,2.4,0
LEN,MG,,01LPX123,60.223,20.16,31.123,BK7,4.1,0
LEN,MG,,01LPX125,60.223,27,31.123,BK7,5.8,0
LEN,MG,,01LPX133,63.736,22.86,32.939,BK7,4.5,0
LEN,MG,,01LPX135,63.736,34.29,32.939,BK7,8,0
LEN,MG,,01LPX137,70.261,27,36.311,BK7,5.2,0
LEN,MG,,01LPX141,70.261,54,36.311,BK7,18.6,0
LEN,MG,,01LPX143,76.484,22.86,39.527,BK7,4.1,0
LEN,MG,,01LPX145,76.484,45.72,39.527,BK7,12.1,0
LEN,MG,,01LPX147,80.298,13.5,41.498,BK7,2.7,0
LEN,MG,,01LPX149,80.298,20.16,41.498,BK7,3.5,0
LEN,MG,,01LPX153,80.298,27,41.498,BK7,4.8,0
LEN,MG,,01LPX157,80.298,45,41.498,BK7,10.4,0
LEN,MG,,01LPX159,85.315,31.5,44.091,BK7,5.6,0
LEN,MG,,01LPX163,90.335,36,46.685,BK7,6.5,0
LEN,MG,,01LPX167,95.354,45,49.279,BK7,9.7,0
LEN,MG,,01LPX169,100.37,13.5,51.872,BK7,2.5,0
LEN,MG,,01LPX177,100.37,20.16,51.872,BK7,3.2,0
LEN,MG,,01LPX178,100.57,27,51.872,BK7,4.2,0
LEN,MG,,01LPX179,100.37,36,51.872,BK7,6,0
LEN,MG,,01LPX181,100.37,46.8,51.872,BK7,9.9,0
LEN,MG,,01LPX183,100.37,54,51.872,BK7,12.5,0
LEN,MG,,01LPX187,100.37,72,51.872,BK7,21.6,0
LEN,MG,,01LPX198,105.39,22.5,54.466,BK7,3.4,0
LEN,MG,,01LPX201,110.41,27,57.059,BK7,4,0
LEN,MG,,01LPX209,120.45,54,62.247,BK7,10.6,0
LEN,MG,,01LPX211,120.45,72,62.247,BK7,17.4,0
LEN,MG,,01LPX217,125.46,27,64.84,BK7,3.7,0
LEN,MG,,01LPX219,127.47,22.86,65.878,BK7,3.2,0
LEN,MG,,01LPX229,135.5,22.5,70.027,BK7,3.1,0
LEN,MG,,01LPX235,140.52,69.3,72.621,BK7,13.9,0
LEN,MG,,01LPX237,150.56,20.16,77.808,BK7,2.8,0
LEN,MG,,01LPX238,150.56,27,77.808,BK7,3.5,0
LEN,MG,,01LPX239,150.56,37.8,77.808,BK7,4.9,0
LEN,MG,,01LPX249,152.97,45.72,79.053,BK7,7.2,0
LEN,MG,,01LPX257,160.6,26.1,82.996,BK7,3.3,0
LEN,MG,,01LPX259,177.66,45.72,91.814,BK7,6.6,0
LEN,MG,,01LPX263,185.69,67.5,95.964,BK7,10.6,0
LEN,MG,,01LPX265,196.73,13.5,101.67,BK7,2.3,0
LEN,MG,,01LPX267,200.74,20.16,103.74,BK7,2.6,0
LEN,MG,,01LPX268,200.74,27,103.74,BK7,3.1,0
LEN,MG,,01LPX277,200.74,45,103.74,BK7,6,0
LEN,MG,,01LPX281,200.74,117,103.74,BK7,26.6,0
LEN,MG,,01LPX282,250.93,27,129.68,BK7,2.9,0
LEN,MG,,01LPX286,250.93,45,129.68,BK7,4.4,0
LEN,MG,,01LPX289,250.93,130.5,129.68,BK7,25.9,0
LEN,MG,,01LPX303,254.93,91.44,131.75,BK7,14.1,0
LEN,MG,,01LPX305,301.12,42.3,155.62,BK7,3.8,0
LEN,MG,,01LPX311,331.23,130.5,171.18,BK7,20,0
LEN,MG,,01LPX313,401.49,22.5,207.49,BK7,2.4,0
LEN,MG,,01LPX319,501.86,22.5,259.36,BK7,2.3,0
LEN,MG,,01LPX322,501.86,45,259.36,BK7,3.2,0
LEN,MG,,01LPX323,602.23,37.8,311.23,BK7,2.7,0
LEN,MG,,01LPX329,702.61,22.5,363.11,BK7,2.2,0
LEN,MG,,01LPX332,702.61,45,363.11,BK7,2.9,0
LEN,MG,,01LPX333,1003.7,22.5,518.72,BK7,2.1,0
LEN,MG,,01LPX336,451.68,130.5,233.43,BK7,15.5,0
LEN,MG,,01LPX343,802.98,45,414.98,BK7,2.8,0
LEN,MG,,01LPX345,1003.7,27,518.72,BK7,2.2,0
LEN,MG,,01LPX347,1003.7,45,518.72,BK7,2.6,0
LEN,MG,,01LPX401,0.9999,1.35,0.8502,LASFN9,0.8,0
LEN,MG,,01LPX407,1.1996,1.8,1.02,LASFN9,0.92,0
LEN,MG,,01LPX413,1.5995,2.25,1.36,LASFN9,0.99,0
LEN,MG,,01LPX415,2.4996,2.52,2.09,LASFN9,1.5,0
LEN,MG,,01LPX421,3.5004,3.24,2.004,BAK1,2,0
LEN,MG,,01LPX423,4,3.78,2.29,BAK1,1.9,0
LEN,MG,,01LPX427,6.0004,3.6,3.101,BK7,1.5,0
LEN,MG,,01LPX435,12.5,6.75,6.46,BK7,2.2,0
LEN,MG,,01LPX443,67.999,4.59,35.142,BK7,2,0
LEN,MG,,01LPX501,12.5,12.5,8.806,SF15,4,0
LEN,MG,,01LPX503,15,12.5,7.781,BK7,4.5,0
LEN,MG,,01LPX505,20,12.5,10.374,BK7,4,0
LEN,MG,,01LPX507,25,12.5,12.968,BK7,4,0
LEN,MG,,01LPX509,30,12.5,15.561,BK7,4,0
LEN,MG,,01LPX511,40,12.5,20.748,BK7,3.5,0
LEN,MG,,01LPX513,50,12.5,25.935,BK7,3.5,0
LEN,MG,,01LPX515,75,12.5,38.903,BK7,3.5,0
LEN,MG,,01LPX517,100,12.5,51.87,BK7,3,0
LEN,MG,,01LPX519,125,12.5,64.838,BK7,3,0
LEN,MG,,01LPX521,175,12.5,90.773,BK7,3,0
LEN,MG,,01LPX523,250,12.5,129.675,BK7,3,0
LEN,MG,,01LPX525,25,25,17.611,SF15,6.5,0
LEN,MG,,01LPX527,37.5,25,19.451,BK7,6,0
LEN,MG,,01LPX531,62.5,25,32.419,BK7,4,0
LEN,MG,,01LPX533,75,25,38.903,BK7,4,0
LEN,MG,,01LPX535,100,25,51.87,BK7,4,0
LEN,MG,,01LPX537,125,25,64.838,BK7,4,0
LEN,MG,,01LPX541,175,25,90.773,BK7,3,0
LEN,MG,,01LPX547,300,25,155.61,BK7,3,0
LEN,MG,,01LPX549,350,25,181.545,BK7,3,0
LEN,MG,,01LPX555,600,25,311.22,BK7,3,0
LEN,MG,,01LPX561,1500,25,778.05,BK7,3,0
LEN,MG,,01LPX563,2000,25,1037.4,BK7,3,0
LEN,MG,,01LPX565,800,25,414.96,BK7,3,0
LEN,MG,,01LPX567,75,50,38.903,BK7,10.5,0
LEN,MG,,01LPX569,100,50,51.87,BK7,9,0
LEN,MG,,01LPX571,125,50,64.838,BK7,7,0
LEN,MG,,01LPX573,150,50,77.805,BK7,6,0
LEN,MG,,01LPX577,375,50,194.513,BK7,4,0
LEN,MG,,01LPX581,625,50,324.188,BK7,3,0
LEN,MG,,01LPX583,750,50,389.025,BK7,3,0
LEN,MG,,01LPX587,1500,50,778.05,BK7,3,0
LEN,MG,,01LPX589,2000,50,1037.4,BK7,3,0
LEN,MG,,01LPX591,3000,50,-3000,BK7,3,0
LEN,MG,,01LPX593,4000,50,-4000,BK7,3,0
LEN,MG,,01LPX595,5000,50,-5000,BK7,3,0
LEN,MG,,01LQB005,10,4.5,8.754,SILICA,2.7,-8.754
LEN,MG,,01LQB011,10,9,8.253,SILICA,5.4,-8.253
LEN,MG,,01LQB016,25,9,22.505,SILICA,3.1,-22.505
LEN,MG,,01LQB023,25,13.5,22.255,SILICA,4.6,-22.255
LEN,MG,,01LQB028,25,22.5,21.265,SILICA,10.2,-21.265
LEN,MG,,01LQB036,50,22.5,45.124,SILICA,5.5,-45.124
LEN,MG,,01LQB045,50,36,44.101,SILICA,11.6,-44.101
LEN,MG,,01LQB055,50,45,42.752,SILICA,19.2,-42.752
LEN,MG,,01LQB066,75,22.5,68.327,SILICA,4.3,-68.327
LEN,MG,,01LQB111,75,45,66.949,SILICA,12.7,-66.949
LEN,MG,,01LQB116,100,22.5,91.429,SILICA,3.7,-91.429
LEN,MG,,01LQB128,100,45,90.396,SILICA,10.1,-90.396
LEN,MG,,01LQB136,100,67.5,88.799,SILICA,19.7,-88.799
